display-name,publication,review-text,original-score-and-url,original-score-and-url 2
Jon Niccum,Kansas City Star,"Kitsch, best known for TV's ""Friday Night Lights,"" proves able to front a movie. The Canadian is as reliable as ""Avatar"" lead Sam Worthington, with a mix of good looks, brawn and generic heroism.","| Original Score: 2.5/4
                
                |","Mar 8, 2012"
Betsy Sharkey,Los Angeles Times,"It starts with a great story - of love and politics, time travel and mystical pathways between planets - badly sucked dry.","| Original Score: 2/5
                
                |","Mar 8, 2012"
Matt Soergel,Florida Times-Union,"There's a lot of coming and going in 'John Carter,' and most of the time I wasn't exactly sure where they're coming from or going to.","| Original Score: 2/4
                
                |","Mar 8, 2012"
Ian Buckwalter,NPR,"All of these characters, and the richly detailed backdrops, are utterly immersive and lifelike - even without the completely unnecessary 3-D.","| Original Score: 6/10
                
                |","Mar 8, 2012"
Steven Rea,Philadelphia Inquirer,"There's something generic about the digitally rendered Martians (whatever their stripe and skin tone), and there's a corniness to the dialogue that keeps the audience from any kind of emotional attachment to the Tharks and Zodangans and their ilk.","| Original Score: 2.5/4
                
                |","Mar 8, 2012"
Gary Thompson,Philadelphia Daily News,"""Carter"" is so good-natured, and so goofy, that it's hard to completely dislike. But impossible, I think, to understand.","| Original Score: 2.5/4
                
                |","Mar 8, 2012"
Ty Burr,Boston Globe,"Against the odds, ""John Carter'' is itself pretty amazing - an epic pulp saga that slowly rises to the level of its best imitations and wins you over by degrees.","| Original Score: 3/4
                
                |","Mar 8, 2012"
Nigel Andrews,Financial Times,"For Pixar prodigy Andrew Stanton directing and co-writing, it was obviously a labour of love. But for two hours, as with any problem birth, we get more labour than love.","| Original Score: 2/5
                
                |","Mar 8, 2012"
Mike Russell,Oregonian,"Stanton is gleefully committed to letting this universe run wild on a big screen. The film's best qualities are its gigantic, densely packed, slightly loopy world-building and its unironic senses of humor and fun.","| Original Score: B
                
                |","Mar 8, 2012"
Charlie McCollum,San Jose Mercury News,"""John Carter"" may not be a perfect movie, but it's one where you can safely plunk down your money, grab your box of popcorn and come away reasonably satisfied when the closing credits roll.","| Original Score: 2.5/4
                
                |","Mar 8, 2012"
Bill Gibron,Filmcritic.com,A true thinking man's thrill ride.,"Full Review
                
                
                    | Original Score: 4/5
                
                |","Mar 8, 2012"
Laura Clifford,Reeling Reviews,"Director Andrew Stanton...admirably decided to keep the material wedded to its time, but he can't get around the fact that his Tharks resemble Jar Jar Binks and the whole enterprise resembles last year's ""Conan the Barbarian"" remake.","| Original Score: C+
                
                |","Mar 8, 2012"
Alonso Duralde,TheWrap,"Stanton's work here is competent on an epic scale; everything from the performances to the look of the film is perfectly fine, but there's a crushing dullness to it.",|,"Mar 8, 2012"
Steven D. Greydanus,Decent Films,Doesn't do anything we haven't seen before ... yet somehow it feels credibly ripped from a larger mythology rather than being cobbled together from spare parts.,"| Original Score: B-
                
                |","Mar 8, 2012"
Peter Howell,Toronto Star,"It looks as if Disney simply borrowed and recycled the sets of Prince of Persia and Gladiator, adding leftover props from The Phantom Menace and Cowboys and Aliens.","Full Review
                
                
                    | Original Score: 1/4
                
                |","Mar 8, 2012"
Dominic Corry,"Flicks (AU, NZ, UK)",Sets a high standard for the event movies to follow.,"| Original Score: 4/5
                
                |","Mar 8, 2012"
Stephanie Zacharek,Movieline,"John Carter is so eager to please that, despite its overblown execution, it still manages to feel intimate and fun.","| Original Score: 7.5/10
                
                |","Mar 8, 2012"
Steve Persall,Tampa Bay Times,"Whoo, baby, where do we begin? Maybe with a math equation: John Carter = Battlefield Earth + Dune over Prince of Persia times $250 million, the reported cost of this underwhelming fantasy.","| Original Score: D-
                
                |","Mar 8, 2012"
Marc Savlov,Austin Chronicle,"Disney bet a whopping $250 million on this becoming its next big franchise, and personally, I'm hoping audiences fall for this displaced yet dashing Southern gentleman and his newfound life abroad.","| Original Score: 3.5/5
                
                |","Mar 8, 2012"
Ben Sachs,Chicago Reader,"The books offer enough material for several movies, which seems to be the root of the problem here: the movie is so overloaded with exposition that the situations have little room to develop.",|,"Mar 8, 2012"
Frank Swietek,One Guy's Opinion,"For all the visual pizzazz and gee-whiz athleticism, it's a bloated bore.","| Original Score: C-
                
                |","Mar 8, 2012"
Duane Dudek,Milwaukee Journal Sentinel,"Even genre film lovers have standards, and ""John Carter"" doesn't meet them.","| Original Score: 1.5/4
                
                |","Mar 8, 2012"
Peter Keough,Boston Phoenix,"Like its four-armed Tharks and its ten-legged Calot, this adaptation of Edgar Rice Burroughs's series of sci-fi novels has too many moving parts for its own good.","| Original Score: 2.5/4
                
                |","Mar 8, 2012"
Peter Bradshaw,Guardian,"I felt as if someone had dragged me into the kitchen of my local Greggs, and was baking my head into the centre of a colossal cube of white bread.","| Original Score: 1/5
                
                |","Mar 8, 2012"
Richard Corliss,TIME Magazine,"Proceeding in fits and starts, and flats and stops, John Carter has some zesty set pieces but no rooting interest.",|,"Mar 8, 2012"
Joe Neumaier,New York Daily News,"While ""John Carter"" is undeniably silly, sprawling and easy to make fun of, it's also playful, genuinely epic and absolutely comfortable being what it is. In this genre, those are virtues as rare as a cave of gold.","| Original Score: 3/5
                
                |","Mar 8, 2012"
Chris Hewitt,St. Paul Pioneer Press,"I liked it, and if you're a sci-fi/fantasy fan, you'll probably like it even more.","| Original Score: 2.5/4
                
                |","Mar 8, 2012"
Henry Fitzherbert,Daily Express (UK),It looks fantastic and youngsters may find the exotic universe compelling enough but the result is sadly soulless and unexciting.,"| Original Score: 2/5
                
                |","Mar 8, 2012"
David Jenkins,Little White Lies,"The overriding feeling with John Carter is that there is an epic film to be made from this material, but this just isn't it.","| Original Score: 2/5
                
                |","Mar 8, 2012"
Robbie Collin,Daily Telegraph (UK),"It feels less like a revival of a classic saga than a rip-off twice removed. Almost everything on screen is old hat, and the few details that have remained fresh for the past 100 years haven't been imitated for good reason.","| Original Score: 2/5
                
                |","Mar 8, 2012"
Christopher Lloyd,Sarasota Herald-Tribune,"An oft-confusing, occasionally silly mega-expensive thrill ride that, for sheer audacity, is the biggest thing to come down the cinematic pike since Avatar.","| Original Score: 4/5
                
                |","Mar 8, 2012"
Joe Lozito,Big Picture Big Sound,Beautifully-realized visuals nearly make up for the well-worn story in this Disney adaptation of the Edgar Rice Burroughs character.,"| Original Score: 2.5/4
                
                |","Mar 8, 2012"
Charles Koplinski,Illinois Times,Not your grandfather's John Carter.,"| Original Score: 3.0/4.0
                
                |","Mar 8, 2012"
Erik Childress,eFilmCritic.com,The difference with Indiana Jones or Pirates of the Caribbean is that most of their action is memorable and filtered through a charismatic hero who fills in the downtime. The flat turns the story takes make it more The Adjustment Bureau meets Spaceballs.,"| Original Score: 2/4
                
                |","Mar 8, 2012"
Matt Pais,RedEye,Often feels silly but only occasionally fun.,"| Original Score: 2.5/4
                
                |","Mar 8, 2012"
Karen Krizanovich,Radio Times,This lavish production of Tarzan creator Edgar Rice Burrough's space adventure has much to recommend it.,"| Original Score: 4/5
                
                |","Mar 8, 2012"
Soren Andersen,Seattle Times,A cheesy looking (the 3-D adds nothing to the picture) quasi-epic filled with dullish characters and chaotically staged action scenes.,"| Original Score: 1.5/4
                
                |","Mar 8, 2012"
Keith Phipps,AV Club,"At its best, it recalls Star Wars and Raiders Of The Lost Ark in the way it joins of-the-moment technology with the sturdy rhythms and easy thrills of an old B-movie.","Full Review
                
                
                    | Original Score: B
                
                |","Mar 8, 2012"
Michael Phillips,Chicago Tribune,"The major problem here is one of rooting interest. I hate to sound like a mogul, or a focus group ho, but at the center of this picture is a flat, inexpressive protagonist played by a flat, inexpressive actor.","Full Review
                
                
                    | Original Score: 2/4
                
                |","Mar 8, 2012"
Roger Ebert,Chicago Sun-Times,"The action sequences are generally well-executed, but they're too much of a muchness. CGI makes them seem too facile and not tactile enough.","| Original Score: 2.5/4
                
                |","Mar 8, 2012"
Matt Neal,The Standard,"It overcomes the adversity of cliche by being exciting and mildly intelligent, with a sufficient amount of humour and heart.","| Original Score: 3/5
                
                |","Mar 7, 2012"
Josh Larsen,LarsenOnFilm,"...has more personality than anyone should rightly expect from a two-hour-plus, CGI-heavy, sci-fi fantasy epic.","| Original Score: 3/4
                
                |","Mar 7, 2012"
Andrew O'Hehir,Salon.com,"You can feel Stanton struggling to bring the confidence, wit and style of ""Wall-E"" and ""Finding Nemo"" to bear upon this leviathan, but he can't quite pull it off.",|,"Mar 7, 2012"
Christy Lemire,Associated Press,"Yes, there is life on Mars in ""John Carter,"" and it's deadly dull.","| Original Score: 1.5/4
                
                |","Mar 7, 2012"
Richard Roeper,Richard Roeper.com,It's sometimes wondrous and often amazingly goofy.,"| Original Score: 2/5
                
                |","Mar 7, 2012"
Owen Gleiberman,Entertainment Weekly,"Kitsch looks marvelous, but that's the problem: He looks a little too marvelous. He's all sexed up with little to do.","| Original Score: D
                
                |","Mar 7, 2012"
Mark Holcomb,Village Voice,The achievement of John Carter is that it takes the elements worn to nubs by everything from Star Wars to Avatar to TV's Fringe and makes them fresh again.,|,"Mar 7, 2012"
Joshua Starnes,ComingSoon.net,"A modern pulp adventure in the classic Spielberg and Lucas vein, John Carter is exactly what pointless entertainment should be but often isn't","| Original Score: 8.5/10
                
                |","Mar 7, 2012"
William Goss,Orlando Weekly,More likely to dazzle your average 12-year-old than summon your own inner child.,|,"Mar 7, 2012"
Edward Douglas,ComingSoon.net,"Andrew Stanton has created a fantastic and magical epic that makes ""John Carter"" the rightful heir to the Star Wars legacy.","| Original Score: 8.5/10
                
                |","Mar 7, 2012"
David Poland,Movie City News,30% less story would have been really helpful and made for a better film. At least for people who are not just watching something they have already imagined in their heads.,|,"Mar 7, 2012"
Connie Ogle,Miami Herald,"John Carter manages to be a ridiculous amount of fun, even if you are immune to the charms of Taylor Kitsch running around in what amounts to a stylish loincloth.","| Original Score: 3/4
                
                |","Mar 7, 2012"
Bill Goodykoontz,Arizona Republic,"Somehow, despite that boatload of talent, the movie never really comes together.","| Original Score: 2.5/5
                
                |","Mar 7, 2012"
Matt Patches,Hollywood.com,"Director Andrew Stanton has a strong sense of what makes ""adventure"" adventurous, helping John Carter encapsulate everything about a great time at the movies.","Full Review
                
                
                    | Original Score: 3/5
                
                |","Mar 7, 2012"
Graham Young,Birmingham Post,The film is at least half-an-hour too long and is often as dull as Will Smith's repulsively silly Wild Wild West.,"| Original Score: 2/5
                
                |","Mar 7, 2012"
Francesca Steele,Sky Cinema,An adventure that feels real and fantastical at the same time.,"| Original Score: 3/5
                
                |","Mar 7, 2012"
Matthew Turner,ViewLondon,"Beautifully designed and impressively directed, this is a thoroughly enjoyable, emotionally engaging space opera with an intelligent script, strong characters, terrific special effects and superb performances from Taylor Kitsch and Lynn Collins.","| Original Score: 4/5
                
                |","Mar 7, 2012"
Keith Uhlich,Time Out,"Aside from a few inspired vistas and alien life-forms, John Carter is as deadly dull as its basso-voiced, beefcake slab of a star.","| Original Score: 2/5
                
                |","Mar 7, 2012"
Lou Lumenick,New York Post,"It's hard to care about anything going on in this shapeless would-be franchise, which lurches from scene to scene without building any real excitement.","| Original Score: 1/4
                
                |","Mar 7, 2012"
Jaime N. Christley,Slant Magazine,"It's both abrupt and languorous, a wall-to-wall exhibition of design work where nobody had the basic decency to make sure the designs were good.","| Original Score: .5/4
                
                |","Mar 6, 2012"
Siobhan Synnot,Scotsman,"Lavish and lengthy, it has the spectacle and spirit of a Saturday matinee movie but not its fleetness or fun.","| Original Score: 3/5
                
                |","Mar 6, 2012"
Glenn Kenny,MSN Movies,"For me, this is the first movie of its kind in a very long time that I'd willingly sit through a second or even third time.","| Original Score: 4/5
                
                |","Mar 6, 2012"
Peter Debruge,Variety,To watch John Carter is to wonder where in this jumbled space opera one might find the intuitive sense of wonderment and awe Stanton brought to Finding Nemo and Wall-E.,|,"Mar 6, 2012"
Chris Bumbray,JoBlo's Movie Network,A terrific time at the movies. Comes a lot closer to being on-par with the beloved sci-fi movies of our youth than most modern blockbusters.,"| Original Score: 8/10
                
                |","Mar 6, 2012"
Tim Grierson,Screen International,"Though ambitiously mounted and sporadically enthralling, the live-action debut of Pixar filmmaker Andrew Stanton is a sci-fi spectacle that's just not very spectacular.","Full Review
                
                
                |","Mar 6, 2012"
MaryAnn Johanson,Flick Filosopher,"[A] dreary Disneyfied inconsequence [that] features all the bigotries of century-old pulp fiction and none of the romance, neither the sexual nor the adventurous kind.",|,"Mar 6, 2012"
Marshall Fine,Hollywood & Fine,"Kitsch is not just flat; he's practically flat-lining as Carter, so uninvolved does he seem...he's so laidback that he might as well be watching this movie as acting in it.",|,"Mar 6, 2012"
Tom Huddleston,Time Out,"A very entertaining, unusual and loveable mess.","| Original Score: 3/5
                
                |","Mar 6, 2012"
Todd McCarthy,Hollywood Reporter,"Although the result is quite a mishmash, dramatic coherence prevails over visual flair...",|,"Mar 6, 2012"
Gregg Katzman,UGO,"Director Andrew Stanton said he hoped to create a timeless adventure, and I wholeheartedly believe the man has succeeded.",|,"Mar 5, 2012"
Dan Jolin,Empire Magazine,Just about every sci-fi/fantasy/superhero adventure you ever loved is in here somewhere.,"| Original Score: 3/5
                
                |","Mar 4, 2012"
Louise Keller,Urban Cinefile,"Some of the ideas may be wonderful, but there is such chaos on screen, it is hard to decipher what is going on much of the time",|,"Mar 3, 2012"
Scott Chitwood,ComingSoon.net,"A fun story, impressive alien world, and cool 3D effects make John Carter a surprise treat that may not have been on your radar.","| Original Score: 9/10
                
                |","Mar 2, 2012"
Emanuel Levy,EmanuelLevy.Com,It's hard to imagine many children or adolescents sitting through this big-budget ($250 million) but uninolving Star Wars knocokoff,"| Original Score: C
                
                |","Mar 2, 2012"
Sean O'Connell,CinemaBlend,"Arid, barren Barsoom is a dull environment for a sci-fi blockbuster, and the consequences of the conflicts happening on screen are small. John Carter just never pulled me in.","| Original Score: 2/5
                
                |","Mar 2, 2012"
Jonathan Crocker,Total Film,"A handsome new sci-fi adventure that feels rather familiar. Enjoyable enough while it lasts, John Carter is big on ambition and disappointingly short on action.","| Original Score: 3/5
                
                |","Mar 2, 2012"
Martin Roberts,Fan The Fire,"The story veers between interesting, boring and borderline incomprehensible.","| Original Score: 2/5
                
                |","Mar 2, 2012"
Stephen Lambrechts,IGN Movies AU,"John Carter is a fantastic fusion of old-fashioned adventure excitement and modern blockbuster spectacle. In short, it's wonderful.","| Original Score: 4/5
                
                |","Mar 2, 2012"
Dave Golder,SFX Magazine,Lynn Collins's feisty Dejah Thoris is the best kick-ass sci-fi princess since Leia,"| Original Score: 4/5
                
                |","Mar 2, 2012"
Devin Faraci,Birth.Movies.Death.,"Often spectacular, with stunning action and thrilling moments, it's a film that captures the pulpy, swashbuckling sensibilities of Burroughs while updating much of the whiz bang for an audience a century older than the original novels.",|,"Mar 1, 2012"
Drew McWeeny,HitFix,"Richly imagined, robustly performed, and directed with the evident enthusiasm of someone who's been dreaming about Barsoom his whole life, 'John Carter' is a gem.","| Original Score: B+
                
                |","Mar 1, 2012"
Simon Reynolds,Digital Spy,When John Carter moves up the gears it's an accomplished blockbuster packed with pulse-racing action.,"| Original Score: 4/5
                
                |","Mar 1, 2012"
Simon Miraudo,Quickflix,Perhaps the sequel - if we ever get there - will fill in the gaps and expand on John Carter's legend now all the expositional heavy-lifting has been done. But is that an acceptable excuse for an epic to be this underwhelming?,"| Original Score: 2.5/5
                
                |","Mar 1, 2012"
Matthew Pejkovic,Matt's Movie Reviews,"John Carter is a fun blockbuster. There is fun in its action scenes, in its jaw dropping imagery and especially in its surprising sense of humour that Andrew Stanton melds well with its brand of sci-fi spectacular.","| Original Score: 4/5
                
                |","Mar 1, 2012"
Rob Beames,What Culture,"""Lovingly Made Pulp Fantasy With Boring Human Characters""",|,"Mar 1, 2012"
