display-name,publication,review-text,original-score-and-url,original-score-and-url 2
Mick LaSalle,San Francisco Chronicle,"In terms of pure adventure, there's less of it here than in Pirates 2 -- the action doesn't really start until about two hours in, and even then it's hard to understand the shifting allegiances or make sense of why the different sides are fighting.","| Original Score: 1.5/4
                
                |","May 24, 2007"
David Elliott,San Diego Union-Tribune,"The third film is a startling cascade of climaxes, too long, but to complain about excess in such an exuberant bonanza is like complaining that Gibraltar has too much rock.","Full Review
                
                
                    | Original Score: 3.5/4
                
                |","May 24, 2007"
Carla Meyer,Sacramento Bee,"As the filmmakers try to wrap up some story lines while introducing others, At World's End buckles from a decided lack of swash.","Full Review
                
                
                |","May 24, 2007"
Carrie Rickey,Philadelphia Inquirer,"Ultimately the voyage is so choppy and long that into the third hour I found myself yawning, 'Yo-ho-hum and a very sore bum.'","Full Review
                
                
                    | Original Score: 2/4
                
                |","May 24, 2007"
Jason Ferguson,Orlando Weekly,"From the stunning visual effects and well-paced action sequences to the smartly written story, Pirates closes the book on its trilogy (and opens the book on the next batch) far more elegantly and enjoyably than Spider-Man. Who'da thunk?","| Original Score: 3.5/5
                
                |","May 24, 2007"
Lisa Rose,Newark Star-Ledger,Even longer and less coherent [than Dead Man's Chest]. Consider it a companion piece to the similarly indulgent Spider-Man 3.,"Full Review
                
                
                    | Original Score: 1.5
                
                |","May 24, 2007"
Duane Dudek,Milwaukee Journal Sentinel,"A vastly accomplished bit of commercial filmmaking, with all the payoffs and pitfalls that such faint praise implies.","Full Review
                
                
                    | Original Score: 3/4
                
                |","May 24, 2007"
Jim Slotek,Jam! Movies,"At 15 minutes this side of three hours, it's longer than Spider-Man 3 and the last Pirates entry, which were both long enough. These are supposed to be popcorn movies, not Berlin Alexanderplatz.","Full Review
                
                
                    | Original Score: 3/5
                
                |","May 24, 2007"
Amy Biancolli,Houston Chronicle,"The third Pirates has tender moments and smashing ones, and if you fix on Depp, you'll manage fine.","| Original Score: 3/4
                
                |","May 24, 2007"
Tom Long,Detroit News,"Running nearly three hours in length, it continues the pointless excesses of the second film while again entirely missing the romantic charm of the first.","| Original Score: C
                
                |","May 24, 2007"
Terry Lawson,Detroit Free Press,"I like my action movies complicated, but At World's End is less a complexity than it is a high seas bazaar with everyone and everything vying for attention. You end up going home with nothing to show for your adventure.","Full Review
                
                
                    | Original Score: 2/4
                
                |","May 24, 2007"
Lisa Kennedy,Denver Post,"The overloaded sequel exhausts without ever satisfying. Cluttered and clattering, busy with jokes that never bob to the surface of funny, it puts the 'oy!' in ships ahoy.","Full Review
                
                
                    | Original Score: 2/4
                
                |","May 24, 2007"
Chris Vognar,Dallas Morning News,At World's End has some fun stuff. If only it weren't so stuffed to the gills with moving parts.,"| Original Score: C
                
                |","May 24, 2007"
Mary F. Pols,Contra Costa Times,"[Special] effects pale in comparison to Depp himself. He is, as ever, the heart and soul of the franchise.","| Original Score: 3/4
                
                |","May 24, 2007"
Andrea Gronvall,Chicago Reader,"[Depp's] shtick is funny, but the players are all upstaged by the astonishing special effects, superior to those of earlier installments in creating a wondrous and menacing world.",|,"May 24, 2007"
Eleanor Ringel Cater,Atlanta Journal-Constitution,One of the best wrap-ups of a trilogy in recent memory.,"Full Review
                
                
                    | Original Score: B+
                
                |","May 24, 2007"
Bill Muller,Arizona Republic,"At World's End includes a whole lot of chitchat, as the characters strain to explain this overplotted extravaganza. Sure, the pirates need reasons to swing swords at each other, but do they really need this many?","Full Review
                
                
                    | Original Score: 3/5
                
                |","May 24, 2007"
Scott Tobias,AV Club,"The last, longest, and most tedious of the bunch, At World's End sags under reams of exposition that not only fail to clarify the story, but take away from the slapstick tomfoolery that made the first film escapist fun.","Full Review
                
                
                    | Original Score: C-
                
                |","May 24, 2007"
Lou Lumenick,New York Post,"Abandon hope all ye seeking a coherent, much less satisfying, narrative.","Full Review
                
                
                    | Original Score: 2/4
                
                |","May 24, 2007"
Ty Burr,Boston Globe,"If the previous installment, Dead Man's Chest, was a classic No. 2, antic and insultingly unresolved, World's End tips the ship too far in the opposite direction. The first two hours of this 168-minute leviathan are bafflingly action-free.","| Original Score: 2.5/4
                
                |","May 24, 2007"
Jeannette Catsoulis,New York Times,"The cannibals, coconuts and landlocked locations [of Dead Man's Chest] have been replaced by the high-seas high jinks that made the first film so enjoyable.","Full Review
                
                
                    | Original Score: 3.5/5
                
                |","May 24, 2007"
Lawrence Toppman,Charlotte Observer,It's more entertaining than the muddled middle of the trilogy. It rounds off the narrative in a satisfying way that eluded Shrek and Spider-Man.,"Full Review
                
                
                    | Original Score: 3/4
                
                |","May 24, 2007"
Victoria Alexander,Movie Reviews in Croatian,"PC1's Jack Sparrow has left the franchise. A stiff pod has replaced him. No story I could follow, but that was my fault. I don't understand Aramaic.","Full Review
                
                
                |","May 24, 2007"
Frank Lovece,Film Journal International,A crowd-pleasing spectacle of such technical virtuosity I dare any highbrow to sneeze at it...both less exhausting and more of an extravaganza than last year's Dead Man's Chest.,|,"May 24, 2007"
Willie Waffle,WaffleMovies.com,"If you loved the first two movies, you're going to love this one, and for good reason. Verbinski wonderfully mixes comedy, action and drama, and gives each character something special to do.","| Original Score: 3.5/4
                
                |","May 24, 2007"
Michelle Orange,Reeler,"Shot at the same time as its predecessor, At World's End bears the same hallmarks of being hacked, horned and hemmed together as they went along.",|,"May 24, 2007"
Kit Bowen,Hollywood.com,"Is this third installment an overblown, drawn-out spectacle with more plot twists than a pretzel factory? Perhaps. Does it still deliver a visually stunning, wham-bam conclusion to a rousing pirate trilogy? Absolutely.","| Original Score: 3/4
                
                |","May 24, 2007"
Jeffrey Chen,Window to the Movies,"Anytime something suspenseful might be occurring, there's always a joke defusing it somewhere. And every time that happens, it's welcome.","| Original Score: 7/10
                
                |","May 24, 2007"
Susan Granger,www.susangranger.com,Exciting and entertaining...and be patient through the long end credits for a revealing epilogue as the salty seafarers sail on.,"| Original Score: 9/10
                
                |","May 24, 2007"
Moriarty,Ain't It Cool Movie Reviews,"Do I think PIRATES 3 is a perfect film? Nope. Do I think it delivers on the promises that the first two films have been making? For the most part, absolutely.",|,"May 24, 2007"
Josh Larsen,"Sun Publications (Chicago, IL)",...any movie that involves something called the 'nine pieces of eight' doesn't really care if you can follow it.,"| Original Score: 3/4
                
                |","May 24, 2007"
Joseph Proimakis,Movies for the Masses,click for full review,"| Original Score: 3/5
                
                |","May 24, 2007"
Erik Childress,eFilmCritic.com,The promise for a hopeful tomorrow that spectacles like the Pirates of the Caribbean are more than just a dying cinematic breed destined to be just another theme park attraction.,"| Original Score: 3.5/4
                
                |","May 24, 2007"
James Sanford,Kalamazoo Gazette,"the most brutal, the wackiest and certainly the trippiest of the 'Pirates' pictures... If it's overloaded and a bit overly complicated, that's not exactly unusual for these movies.","| Original Score: 3/4
                
                |","May 24, 2007"
Andy Klein,Los Angeles CityBeat,"... even noisier, more frenetic, more pointlessly complicated, and -- God help us -- longer than its predecessors. There is so much classic Bruckheimer bloat here that he could have called it Arrrrrr-mageddon.","Full Review
                
                
                |","May 24, 2007"
Rob Vaux,Flipside Movie Emporium,"'Betrayal'... is the most apt word for At World's End. Betrayal of purpose, and of promise, and of the grand, glorious finale that everyone wanted so dearly to see.","| Original Score: C-
                
                |","May 24, 2007"
Devin Faraci,CHUD,"The finale ends up going on so long that by the time the 'important' events occur at the end I couldn't find it within myself to care anymore. I had been swashed, buckled and CGIed into apathy.","| Original Score: 6.5/10
                
                |","May 23, 2007"
Sara Michelle Fetters,MovieFreak.com,The big problem here is director Gore Verbinski. It is almost as if his massive success on the first two has given him personal license to indulge in every single whim and idiosyncrasy the filmmaker could ever imagine.,"| Original Score: 2.5/4
                
                |","May 23, 2007"
Dustin Putman,TheFilmFile.com,"Bloated beyond comprehension, overplotted to the point of aggravation, and about as soulless as a ship captain specter, [the film] is a total mess.","| Original Score: 1/4
                
                |","May 23, 2007"
Jeffrey Westhoff,"Northwest Herald (Crystal Lake, IL)",Director Gore Verbinski continues to deliver the big-budget goods.,"Full Review
                
                
                    | Original Score: 3/4
                
                |","May 23, 2007"
Rebecca Murray,About.com,Detach your brain and just wait for the action scenes to carry you away.,"Full Review
                
                
                    | Original Score: B-
                
                |","May 23, 2007"
Michael A. Smith,Nolan's Pop Culture Review,"An epic spectacle in every sense of the word, ""Pirates 3"" is a non stop journey to all corners of the earth.","| Original Score: 3.5/4
                
                |","May 23, 2007"
Scott Weinberg,Cinematical,"Yep, it's a bit too long and more than a little convoluted. It's still one of the best times I've had at the movies this year.","| Original Score: 4.5/5
                
                |","May 23, 2007"
MaryAnn Johanson,Flick Filosopher,"Oh, thank the gods. Thank crazy Walt Disney's head in a cryogenic freezer.... [This] lowest-common-denominator junk cinema [is] the most cheesalicious, escape-a-riffic it could be.",|,"May 23, 2007"
David Foucher,EDGE Boston,"Captain Jack returns for the climactic conclusion to Disney's swashbuckling trilogy %u2013 and Keith Richards notwithstanding, the movie rocks.","| Original Score: A
                
                |","May 23, 2007"
Nick Schager,Slant Magazine,"Given its origins as a theme park ride, it's apt that Disney's Pirates of the Caribbean trilogy has experienced a trajectory not unlike that of a rollercoaster: an initial high, followed by repeated plummets to nauseating lows.","| Original Score: 1/4
                
                |","May 23, 2007"
Danny Minton,Beaumont Journal,The boat sails on forever and the parlay never ends.,"| Original Score: B-
                
                |","May 23, 2007"
Chris Barsanti,Filmcritic.com,"At World's End, shows that Hollywood excess, when combined with the right combination of actors and an occasionally smart script, can work out quite nicely, thank you very much.","Full Review
                
                
                    | Original Score: 3/5
                
                |","May 23, 2007"
Brian Orndorf,OhmyNews.com,Perhaps on Jack's next adventure he could sail to the end of the world to locate a more judicious editor.,"| Original Score: C-
                
                |","May 23, 2007"
Frank Swietek,One Guy's Opinion,"A convoluted, ponderous, joyless spectacle whose lack of charm is matched only by its incoherence.","| Original Score: D
                
                |","May 23, 2007"
Harvey S. Karten,Compuserve,"For what this one picture cost, you could make 8,000 pictures like Mike Akel's 'Chalk' or 2,000 like Adrienne Shelley's 'Waitress,' and each would be better than 'Pirates.'","| Original Score: C-
                
                |","May 23, 2007"
Edward Douglas,ComingSoon.net,"Despite a rather dull and uninspired opening, the last hour of action and resolution makes for a suitably satisfying ending.","| Original Score: 7/10
                
                |","May 23, 2007"
Roger Moore,Orlando Sentinel,"The effects are spectacular, Knightley and Bloom have more to chew on and more romance to play, and Depp, vamping multiple versions of the ditz he created for this role, is uproarious.","Full Review
                
                
                    | Original Score: 3/5
                
                |","May 23, 2007"
Peter Canavese,Groucho Reviews,"Rum should be mandatory for every man, woman, and child misguidedly attempting to make sense of the frantic Pirates of the Caribbean: At World's End.","Full Review
                
                
                    | Original Score: 2/4
                
                |","May 23, 2007"
Joshua Tyler,CinemaBlend,"Pirates 3 is better than Pirates 2 for one very good reason: Forget Captain Jack, Captain Barbossa is back!","| Original Score: 3.5/5
                
                |","May 23, 2007"
Andrea Chase,Killer Movie Reviews,"It drifts along in its own sort of doldrums, two minutes of not terribly exciting story followed by ten minutes of special effects, some of which are dandy, most of which demonstrate the textbook definition of overkill.","| Original Score: 2/5
                
                |","May 23, 2007"
Jules Brenner,Cinema Signals,The entertainment life raft to be found in these waters is the aura of mystery and adventure provided by a masterful technical crew.,"| Original Score: 4/5
                
                |","May 23, 2007"
Gene Seymour,Newsday,It won't matter whether you've seen the first two Pirates movies or not. You'll still be confused.,"Full Review
                
                
                    | Original Score: 2/4
                
                |","May 23, 2007"
Carina Chocano,Los Angeles Times,"For the diligent and the faithful, director Gore Verbinski and screenwriters Terry Rossio and Ted Elliott, laboring under the bombastic tutelage of Jerry Bruckheimer, have assembled another collection of exciting set-pieces with bellowed dialogue.","| Original Score: 3/5
                
                |","May 23, 2007"
Michael Wilmington,Chicago Tribune,"The most visually spectacular, action-packed and surreal of the adventures of Capt. Jack Sparrow.","Full Review
                
                
                    | Original Score: 3.5/4
                
                |","May 23, 2007"
Rich Cline,Shadows on the Wall,"Just enough surprises to keep us gripped, and laughing, right through the impenetrable, overwrought plot.","| Original Score: 3.5/5
                
                |","May 23, 2007"
Helen O'Hara,Empire Magazine,"The plot's a trippy, twisty mess, and it's far too long, but it looks fantastic and makes some bold choices in its execution. And once again Jack's back to save the day.","| Original Score: 3/5
                
                |","May 23, 2007"
Jack Mathews,New York Daily News,"After the film's final act at Shipwreck Cove, one does feel a sense of satisfaction with the Pirates series, the glow of a rum punch and an ocean sunset.","| Original Score: 2.5/4
                
                |","May 23, 2007"
Peter Travers,Rolling Stone,Producer Jerry Bruckheimer does deserve a shoutout: It takes a kind of genius to sucker audiences into repeatedly buying the same party tricks.,"Full Review
                
                
                    | Original Score: 2/4
                
                |","May 23, 2007"
James Berardinelli,ReelViews,"The thrilling final hour is almost enough to make one forget how much of a labor it is to trudge through the first two-thirds -- almost, but not quite.","| Original Score: 2.5/4
                
                |","May 23, 2007"
Michael Rechtshaffen,Hollywood Reporter,"More than ever, Depp masterfully keeps the enterprise afloat, even when the sheer weight of all those other characters threatens to throw it off-course.","Full Review
                
                
                |","May 23, 2007"
Owen Gleiberman,Entertainment Weekly,"Just about every character in At World's End comes with his or her own agenda, and the movie grows top-heavy as we attempt to keep track of who's trying to accomplish what.","| Original Score: C
                
                |","May 23, 2007"
Phil Villarreal,Arizona Daily Star,"Roger wouldn't be so jolly if he had to sit through Pirates of the Caribbean: At World's End, a tiresome, disorienting walk down a 165-minute-long plank.","| Original Score: 1/4
                
                |","May 23, 2007"
Brian Lowry,Variety,"POTC: At World's End clocks in at more than 2 3/4 hours, but, unlike last year's bloated sequel, at least possesses some semblance of a destination, making it slightly more coherent -- if no less numbing during the protracted finale.","Full Review
                
                
                |","May 23, 2007"
Matt Pais,Metromix.com,"Left to do most of the movie's heavy lifting, Knightley and Bloom are still so flavorless that they make Rice Cakes seem like a feast for the senses.","| Original Score: 2/4
                
                |","May 23, 2007"
Mark Ramsey,MovieJuice!,"'Blimey! Keep yer lengthy spyglass! 'Tis the girth that makes the timbers shiver, matey,' said Jack.","Full Review
                
                
                    | Original Score: B+
                
                |","May 23, 2007"
Nathan Lee,Village Voice,"POTC:AWE is a lukewarm maelstrom of secret agendas, double crossings, tricky alliances, back stabbings, political conspiracies, warring factions, etc. -- none of which is the least bit captivating or, by and large, comprehensible.",|,"May 23, 2007"
Emanuel Levy,EmanuelLevy.Com,"A rousing final hour and stunning production design help digest the third (and longest) segment of the popular franchise, but they can't really keep the picture afloat due to the overstuffed yarn and mostly banal dialogue.","| Original Score: C
                
                |","May 23, 2007"
Diana Saenger,ReviewExpress.com,At World's End is visually exciting but after three movies I'm still confused about this plot.,"| Original Score: 2.5/5
                
                |","May 22, 2007"
Sean Burns,Philadelphia Weekly,"Such a tangled thicket of overwritten, labyrinthine mythology, backstabbing betrayals and mixed motivations that a massive chunk of the running time is devoted to characters standing around on boats, trying like hell to explain the plot to one another.","Full Review
                
                
                |","May 22, 2007"
James O'Ehley,SA Movie & DVD Magazine,You sometimes need a flow chart to figure out who is doing what to whom and why in the third - and final (?) - Pirates of the Caribbean film . . .,"Full Review
                
                
                |","May 22, 2007"
Urban Cinefile Critics,Urban Cinefile,"Interminable, with more plot lines than pirates, this is a mix of theatrical bravura, magical special effects and tedium... a journey on a tempestuous ocean with mountainous highs and fathomless lows. I was confused, enthralled, dazzled and bored.",|,"May 22, 2007"
